org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSetAndGet,pass,0.002,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSize,failure
org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testRemove,pass,0.003,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSize,failure
org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testRemoveAll,pass,0.003,org.apache.dubbo.common.threadlocal.InternalThreadLocalTest.testSize,failure
org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,pass,0.133,org.apache.dubbo.config.AbstractInterfaceConfigTest.testCheckRegistry2,failure
org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,pass,0.141,org.apache.dubbo.config.cache.CacheTest.testCache,error
org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,pass,0.157,org.apache.dubbo.config.ReferenceConfigTest.testInjvm,error
org.apache.dubbo.config.ServiceConfigTest.testProxy,pass,0.201,org.apache.dubbo.config.ReferenceConfigTest.testReferenceRetry,failure
org.apache.dubbo.config.ServiceConfigTest.testExport,pass,0.307,org.apache.dubbo.config.ReferenceConfigTest.testReferenceRetry,failure
org.apache.dubbo.config.url.InvokerSideConfigUrlTest.consumerConfUrlTest,pass,0.665,org.apache.dubbo.config.ReferenceConfigTest.testReferenceRetry,failure
org.apache.dubbo.config.url.InvokerSideConfigUrlTest.refConfUrlTest,pass,0.729,org.apache.dubbo.config.ReferenceConfigTest.testReferenceRetry,failure
org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,pass,0.158,org.apache.dubbo.config.ReferenceConfigTest.testReferenceRetry,failure
org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,pass,0.135,org.apache.dubbo.config.validation.ValidationTest.testGenericValidation,error
org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,pass,0.114,org.apache.dubbo.config.validation.ValidationTest.testProviderValidation,error
org.apache.dubbo.config.AbstractInterfaceConfigTest.testLoadRegistries,pass,0.148,org.apache.dubbo.config.validation.ValidationTest.testValidation,error
org.apache.dubbo.rpc.cluster.StickyTest.testMethodsSticky,pass,0.174,org.apache.dubbo.rpc.cluster.StickyTest.testMethodStickyNoCheck,failure
org.apache.dubbo.rpc.cluster.StickyTest.testMethodStickyForceCheck,pass,0.132,org.apache.dubbo.rpc.cluster.StickyTest.testMethodStickyNoCheck,failure
org.apache.dubbo.rpc.cluster.StickyTest.testStickyForceCheck,pass,0.133,org.apache.dubbo.rpc.cluster.StickyTest.testStickyNoCheck,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_requestWithoutTag_shouldNotDowngrade,pass,0.129,org.apache.dubbo.rpc.cluster.support.AbstractClusterInvokerTest.testBindingAttachment,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_matchTag,pass,0.111,org.apache.dubbo.rpc.cluster.support.AbstractClusterInvokerTest.testBindingAttachment,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_matchDefault,pass,0.122,org.apache.dubbo.rpc.cluster.support.AbstractClusterInvokerTest.testBindingAttachment,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_requestWithTag_shouldDowngrade,pass,0.128,org.apache.dubbo.rpc.cluster.support.AbstractClusterInvokerTest.testBindingAttachment,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_requestWithoutTag_shouldNotDowngrade,pass,0.113,org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_matchTag,pass,0.082,org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_matchDefault,pass,0.102,org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,failure
org.apache.dubbo.rpc.cluster.router.tag.TagRouterTest.testRoute_requestWithTag_shouldDowngrade,pass,0.085,org.apache.dubbo.rpc.cluster.support.ForkingClusterInvokerTest.testClearRpcContext,failure
org.apache.dubbo.rpc.RpcContextTest.testAsync,pass,0.126,org.apache.dubbo.rpc.proxy.javassist.JavassistProxyFactoryTest.testGetInvoker,failure
org.apache.dubbo.rpc.RpcContextTest.testAsync,pass,0.11,org.apache.dubbo.rpc.proxy.jdk.JdkProxyFactoryTest.testGetInvoker,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testStartStop,pass,2.893,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testServiceWithMissingSecretFile,pass,3.445,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testServiceWithSecretFile,pass,3.411,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testServiceWithEmptySecretFile,pass,3.409,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testServiceWithSecretFileWithDeprecatedConfigOnly,pass,3.414,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testDoubleStop,pass,2.958,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testJustStop,pass,0.903,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testServiceWithSecretFileWithBothConfigOptions,pass,3.405,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testDoubleStart,pass,2.919,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,failure
org.apache.hadoop.lib.service.hadoop.TestFileSystemAccessService.kerberosInitializationFailure,pass,0.796,org.apache.hadoop.fs.http.server.TestHttpFSServer.instrumentation,error
org.apache.hadoop.fs.http.client.TestHttpFSWithHttpFSFileSystem.testOperationDoAs[18],pass,14.536,org.apache.hadoop.fs.http.server.TestHttpFSServerNoACLs.testWithNoAcls,error
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testStartStop,pass,3.158,org.apache.hadoop.fs.http.server.TestHttpFSServerNoACLs.testWithNoAcls,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testServiceWithMissingSecretFile,pass,3.81,org.apache.hadoop.fs.http.server.TestHttpFSServerNoACLs.testWithNoAcls,failure
org.apache.hadoop.fs.http.server.TestHttpFSServerWebServer.testServiceWithSecretFile,pass,3.73,org.apache.hadoop.fs.http.server.TestHttpFSServerNoACLs.testWithNoAcls,failure
